,PhraseNo,Phrase,IsHateSpeech,cleaned_phrase
17,18,රට හදන්න ඕනේ නම් එන්ජීඕ ගැට වලින් මිදී ගෙදරට වී ඉන්න,YES,රට හදන්න ඕනේ නම් එන්ජීඕ ගැට වලින් මිදී ගෙදරට වී ඉන්න
21,22,රට හදන්න කලින් මිනිසුන් රවටන ප්‍රචාරක දැන්විම් වලින් මුදල් හම්බ කරන එක නවත්වා සමාජයට සේවයක් කරන්න.,YES,රට හදන්න කලින් මිනිසුන් රවටන ප්‍රචාරක දැන්විම් වලින් මුදල් හම්බ කරන එක නවත්වා සමාජයට සේවයක් කරන්න 
22,23,ජයසූරියත් ආවෙ..කෝ රට හැදුවද ? හැදුවද ? නෑ..නෙ...නෑ නෙ...ඌ ලමයි හැදුවා,YES,ජයසූරියත් ආවෙ  කෝ රට හැදුවද   හැදුවද   නෑ  නෙ   නෑ නෙ   ඌ ලමයි හැදුවා
23,24,ආ එතකොට අපිටත් ඇඩ් එකක ඉන්න පුළුවන් වෙයි නේ..,YES,ආ එතකොට අපිටත් ඇඩ් එකක ඉන්න පුළුවන් වෙයි නේ  
24,25,පොන්නයො රට පලනය කරනකොට ඔහොම තමා.ජිවිතේ අසාවෙන් බලපු එකම දේ ක්‍රිකට් එකත් නැති කරා මේ පොන්නයො,YES,පොන්නයො රට පලනය කරනකොට ඔහොම තමා ජිවිතේ අසාවෙන් බලපු එකම දේ ක්‍රිකට් එකත් නැති කරා මේ පොන්නයො
26,27,ස්ට්‍රයික් කරන ඔක්කොටම ගහන්න ඕන දෝස්තරලාත් ඇතුලු,YES,ස්ට්‍රයික් කරන ඔක්කොටම ගහන්න ඕන දෝස්තරලාත් ඇතුලු
28,29,ගිය ආන්ඩුව කාලෙ ඔහොම නැටුවේ නෑ.මුන්ගෙ කොන්ද පන නෑ.,YES,ගිය ආන්ඩුව කාලෙ ඔහොම නැටුවේ නෑ මුන්ගෙ කොන්ද පන නෑ 
29,30,ඉතිං බං උබලා පිස්සු නටලා ඊට වඩා පඩි ගන්නෙ ඕක මොකක්ද.,YES,ඉතිං බං උබලා පිස්සු නටලා ඊට වඩා පඩි ගන්නෙ ඕක මොකක්ද 
30,31,කල්ලතෝනි පකෙක්..,YES,කල්ලතෝනි පකෙක්  
31,32,අැත්තටම හරිම සතුටුයි.එ් මනුස්සකමට.එ් වගේම අරාබියට ගිහින්එන අපේ මුස්ලිමි කාන්තාවන් මුන වහගෙන බිල්ලෝ වගේ එනකොට මේ නෝනා හරිම සුන්දර විදියට අැවිත් ඉන්නවා.,YES,අැත්තටම හරිම සතුටුයි එ් මනුස්සකමට එ් වගේම අරාබියට ගිහින්එන අපේ මුස්ලිමි කාන්තාවන් මුන වහගෙන බිල්ලෝ වගේ එනකොට මේ නෝනා හරිම සුන්දර විදියට අැවිත් ඉන්නවා 
34,35,මේ කැරිවේසිග පුතාල ඉන්නකල් රටට කෙලවෙන එක අහන්නත් දෙයක්ද බන්..කාලකන්නි හැත්ත...බල්ලො රටේ ලොක්කො වෙනකොට රට බල්ලට යන එක අහන්නත් දෙයක්ද,YES,මේ කැරිවේසිග පුතාල ඉන්නකල් රටට කෙලවෙන එක අහන්නත් දෙයක්ද බන්  කාලකන්නි හැත්ත   බල්ලො රටේ ලොක්කො වෙනකොට රට බල්ලට යන එක අහන්නත් දෙයක්ද
39,40,තොපි වගේ නාහෙන් අඩන කාලකන්නි පොන්නයො නිසා තමයි අපේ සංගීතයට අද කණ කොකා හඩලා තියෙන්නෙ...ලැජ්ජයි යකෝ...තෝ වගේ එකෙක් ආයෙ මුණ ගැහුනා නම් ඌත් තෝ වගේම අඩයිනෙ දවසක,YES,තොපි වගේ නාහෙන් අඩන කාලකන්නි පොන්නයො නිසා තමයි අපේ සංගීතයට අද කණ කොකා හඩලා තියෙන්නෙ   ලැජ්ජයි යකෝ   තෝ වගේ එකෙක් ආයෙ මුණ ගැහුනා නම් ඌත් තෝ වගේම අඩයිනෙ දවසක
43,44,මොනව උනත් පොලිසියෙ ඉන්නෙ බල්ලො,YES,මොනව උනත් පොලිසියෙ ඉන්නෙ බල්ලො
45,46,තෝ වගෙ එකෙක් අනේ මන්ද යකෝ...වැදගත් දෙයක් කරපිය....ගොන් වස්සෙක්....ඉදකින් හුත්තො,YES,තෝ වගෙ එකෙක් අනේ මන්ද යකෝ   වැදගත් දෙයක් කරපිය    ගොන් වස්සෙක්    ඉදකින් හුත්තො
48,49,"ඇයි යකෝ ලංකාවේ පොලිසිය,නිරායුධ මිනිසුන්ට ගහන්නේ එලවා එලවා",YES,ඇයි යකෝ ලංකාවේ පොලිසිය නිරායුධ මිනිසුන්ට ගහන්නේ එලවා එලවා
51,52,පොලිස්සිය තාමත් කැද හැලි වගේ. තරැන කොල්ලොන්ට ජීවිතෙන් වන්දි ගෙවන්න වෙන්නෙ නාකි පප්පල බුලත්විටක් කාගෙන අඩි දහයක් දුවා ගන්න බැරි නිසා.,YES,පොලිස්සිය තාමත් කැද හැලි වගේ  තරැන කොල්ලොන්ට ජීවිතෙන් වන්දි ගෙවන්න වෙන්නෙ නාකි පප්පල බුලත්විටක් කාගෙන අඩි දහයක් දුවා ගන්න බැරි නිසා 
54,55,.ගිහින් ඔය එකෙක්ටවත් ආපහු මේ ලෝකේ දකින්න ඉඩ තියන්න එපා...මුන්ව හිරේ යවන්නනම් එපා..මරලා දානවා මිසක්,YES, ගිහින් ඔය එකෙක්ටවත් ආපහු මේ ලෝකේ දකින්න ඉඩ තියන්න එපා   මුන්ව හිරේ යවන්නනම් එපා  මරලා දානවා මිසක්
55,56,අනේ මෙහෙමත් කුහක මිනිස්සු...,YES,අනේ මෙහෙමත් කුහක මිනිස්සු   
56,57,මෙතන හොරු හොදට තුවක්කුවලින් වෙඩි තියනවා. පොලිසිය අත වන වන ඇවිත් හොරුන්ගෙන් වෙඩි කනවා ගුටි කනවා.,YES,මෙතන හොරු හොදට තුවක්කුවලින් වෙඩි තියනවා  පොලිසිය අත වන වන ඇවිත් හොරුන්ගෙන් වෙඩි කනවා ගුටි කනවා 
57,58,මෙලෝ රහක් නැති උන් ඉන්න ටවුන් එකක්...,YES,මෙලෝ රහක් නැති උන් ඉන්න ටවුන් එකක්   
59,60,කතා කරෝත් මහ ලොකුවට අපි.දකුණේ..කෝන්දක් තීයන1 කේනේක් නෑ පොලිසිය අයියව ..උස්සන්න..ඔය උස්සපු අයියා විතරයි..පිරිමි යේක් කියලා.,YES,කතා කරෝත් මහ ලොකුවට අපි දකුණේ  කෝන්දක් තීයන1 කේනේක් නෑ පොලිසිය අයියව   උස්සන්න  ඔය උස්සපු අයියා විතරයි  පිරිමි යේක් කියලා 
60,61,මමනං දැක්කේ..අනිත් ඔක්කෝම පිරිමී ..අපි..අදින ගවුම් වලට වඩා..හෝද නයිටි ටිකක් ඇදගන්න...ලැජ්ජයි මට නම් මාතර අයට පිරිමි කියන්න....දැක්ක හොදම නපුංසකයෝ නම් මාතර තමා....අනේ ප්ලීස්..ඔය මංකොල්ල කාරයෝ.,YES,මමනං දැක්කේ  අනිත් ඔක්කෝම පිරිමී   අපි  අදින ගවුම් වලට වඩා  හෝද නයිටි ටිකක් ඇදගන්න   ලැජ්ජයි මට නම් මාතර අයට පිරිමි කියන්න    දැක්ක හොදම නපුංසකයෝ නම් මාතර තමා    අනේ ප්ලීස්  ඔය මංකොල්ල කාරයෝ 
61,62,ඔක්කෝම .කෝහෝම හරි...වෙඩිතියල මරලා දාන්න..පොලිස්පති තුමනි..අයේත් මේවැනි දේ නොවෙන්න....,YES,ඔක්කෝම  කෝහෝම හරි   වෙඩිතියල මරලා දාන්න  පොලිස්පති තුමනි  අයේත් මේවැනි දේ නොවෙන්න    
62,63,මව් බිම නැති නම් මරණය....මෙයයි තේමා පාටය විය යුත්තේ ...ඔය පෝන් කෝල් වලට බයේ රාජකාරි කරන කාලය ඇත හැරි යුතුයි.,YES,මව් බිම නැති නම් මරණය    මෙයයි තේමා පාටය විය යුත්තේ    ඔය පෝන් කෝල් වලට බයේ රාජකාරි කරන කාලය ඇත හැරි යුතුයි 
65,66,තුවක්කුවක් නැත්තං පැත්තකට වෙලා ඉදපංකො විහිං මැරැම්කන්නැතිව.තුවක්කු තියං ඉන්න මංකොලල කාරයන්ට බැටන්පොල්ලෙන් ගහන්න ගියාම මැරැංකන එක අහන්නත් දෙයක්ද.මේක මහ මෝඩයෙක්,YES,තුවක්කුවක් නැත්තං පැත්තකට වෙලා ඉදපංකො විහිං මැරැම්කන්නැතිව තුවක්කු තියං ඉන්න මංකොලල කාරයන්ට බැටන්පොල්ලෙන් ගහන්න ගියාම මැරැංකන එක අහන්නත් දෙයක්ද මේක මහ මෝඩයෙක්
68,69,මත්ද්‍රව්‍යවලට ඇබ්බැහි වෙලා මිනිස්සු මරලා හරි සල්ලි ඔිිනි පොලිසියට පෙර පුහුණුවක් නැති විම පුජිත දේසපාලකන්ගේ කකුල් ලේවකනවා කොල්ලා නිකන් මැරැැනා,YES,මත්ද්‍රව්‍යවලට ඇබ්බැහි වෙලා මිනිස්සු මරලා හරි සල්ලි ඔිිනි පොලිසියට පෙර පුහුණුවක් නැති විම පුජිත දේසපාලකන්ගේ කකුල් ලේවකනවා කොල්ලා නිකන් මැරැැනා
69,70,යකෝ හරිහමන් තුවක්කුවක් දෙන්න බැරිද බන්.. ඇමති අයගේ වාහන වලට කෝටි ප්‍රකෝටි ගනන් නාස්ති කරනවා ඕන දේකට වියදම් කරන්නේ නෑ...,YES,යකෝ හරිහමන් තුවක්කුවක් දෙන්න බැරිද බන්   ඇමති අයගේ වාහන වලට කෝටි ප්‍රකෝටි ගනන් නාස්ති කරනවා ඕන දේකට වියදම් කරන්නේ නෑ   
73,74,අර දිවියව මරපු මිනිස්සු තරම් අපරාධ කාරයෝ නෙමේ වෙන්න ඇති මේ පොලිස් නිලධාරියාව මරපු මිනිමරුවෝ.එකනේ ඒ තරම් දරුණු වචන නැත්තේ මේ මිනි මරුවන්ට එරෙහිව,YES,අර දිවියව මරපු මිනිස්සු තරම් අපරාධ කාරයෝ නෙමේ වෙන්න ඇති මේ පොලිස් නිලධාරියාව මරපු මිනිමරුවෝ එකනේ ඒ තරම් දරුණු වචන නැත්තේ මේ මිනි මරුවන්ට එරෙහිව
76,77,තවත් එක් සෝමාලියාවක් වගේ.ශිට්,YES,තවත් එක් සෝමාලියාවක් වගේ ශිට්
78,79,පාතාලයේ කියන හැම එකාවම මරල දාන්න ඕනා...,YES,පාතාලයේ කියන හැම එකාවම මරල දාන්න ඕනා   
80,81,ත්‍රිවිධ හමුදාවට පොලිසිය අසරණ කරන්න තහංචි පනවා. හොරුන්ට නීති රීති ලිහිල්වුන රටක් ලංකාව.,YES,ත්‍රිවිධ හමුදාවට පොලිසිය අසරණ කරන්න තහංචි පනවා  හොරුන්ට නීති රීති ලිහිල්වුන රටක් ලංකාව 
81,82,කියන්න නම් එපා අපි දකුනේ කියලා....විලි ලැජ්ජයි යකෝ.,YES,කියන්න නම් එපා අපි දකුනේ කියලා    විලි ලැජ්ජයි යකෝ 
82,83,ඕකුන්වත් පෝලිමට තියලා මරලා දාපල්ලා. අර අහිංසකයට වුනා වගේම.,YES,ඕකුන්වත් පෝලිමට තියලා මරලා දාපල්ලා  අර අහිංසකයට වුනා වගේම 
85,86,"වෙනසෙ සැප පේනවනේ ,මෙි රටෙි නිතිය බල්ලට ගිහින්",YES,වෙනසෙ සැප පේනවනේ  මෙි රටෙි නිතිය බල්ලට ගිහින්
88,89,දැන් බැන බැන මේකෙ පෝස්ට් දැම්මට මේවා පිලිවෙලට මහින්දගෙ කාලෙ සිද්ධ උනා... ඒවාට අසංවේදී උන මෝඩ උද්ධච්ඡ මිනිස්සුන්ගෙ ඡන්ද වල පිහිටෙන් ලැබුනු වෙනස තමයි මේ තියෙන්න්නේ...,YES,දැන් බැන බැන මේකෙ පෝස්ට් දැම්මට මේවා පිලිවෙලට මහින්දගෙ කාලෙ සිද්ධ උනා    ඒවාට අසංවේදී උන මෝඩ උද්ධච්ඡ මිනිස්සුන්ගෙ ඡන්ද වල පිහිටෙන් ලැබුනු වෙනස තමයි මේ තියෙන්න්නේ   
89,90,තුවාල වලට බේත් දානවා වගේ.....කියන්න දුකයි සිංහල ජාතිය කාළකණ්නි ජාතියක් බවට පත් වී හමාරයි,YES,තුවාල වලට බේත් දානවා වගේ     කියන්න දුකයි සිංහල ජාතිය කාළකණ්නි ජාතියක් බවට පත් වී හමාරයි
91,92,ඇත්තම කියනවනම් ලංකාව හරිම කාලකන්නි රටක්.,YES,ඇත්තම කියනවනම් ලංකාව හරිම කාලකන්නි රටක් 
92,93,කාලකන්නි හැතිකරය අපේ සල්ලි වලින් ලබු කන මෙි වාගේ රජයේ අයතන වලට හන හගන්න ඔන,YES,කාලකන්නි හැතිකරය අපේ සල්ලි වලින් ලබු කන මෙි වාගේ රජයේ අයතන වලට හන හගන්න ඔන
95,96,මුන් ඔක්කොම රට කනවා අනේ අපේ බදු ගන්න සල්ලි,YES,මුන් ඔක්කොම රට කනවා අනේ අපේ බදු ගන්න සල්ලි
98,99,මොනතරම් ගින්දරක් පපු ඇතුලේ පත්තු වෙනවා අැද්ද...තාත්තා මේ අත් පා උස්මහත් කරපු තාත්තා දෙයියනේ...ශාප වෙයි උඹලට මේ ආත්මෙම..,YES,මොනතරම් ගින්දරක් පපු ඇතුලේ පත්තු වෙනවා අැද්ද   තාත්තා මේ අත් පා උස්මහත් කරපු තාත්තා දෙයියනේ   ශාප වෙයි උඹලට මේ ආත්මෙම  
100,101,උගෙ අප්පගෙ නීතියක්නෙ යකො එක අර රංගෙ බන්ඩාරගෙ පුතා 3 පාරක් වාහනෙ හප්පලා එක මිනිහෙක් මරලා පවුලක් අබ්බගාතයො කරා කො නිතිය මෙපාර ගෙයක් කුඩු කරලා හොදටම බීලා වාහනෙ ඇතුලෙ කඩු පොලු තියෙද්දිත් කොහොමද යකො ඌට ඇප දෙන්නෙ,YES,උගෙ අප්පගෙ නීතියක්නෙ යකො එක අර රංගෙ බන්ඩාරගෙ පුතා 3 පාරක් වාහනෙ හප්පලා එක මිනිහෙක් මරලා පවුලක් අබ්බගාතයො කරා කො නිතිය මෙපාර ගෙයක් කුඩු කරලා හොදටම බීලා වාහනෙ ඇතුලෙ කඩු පොලු තියෙද්දිත් කොහොමද යකො ඌට ඇප දෙන්නෙ
107,108,ගොං හුත්තී... හැමිනියන් වෙසී... තොට සාප වේනවා බැල්ලීයේ...,YES,ගොං හුත්තී    හැමිනියන් වෙසී    තොට සාප වේනවා බැල්ලීයේ   
108,109,කියන්න දුකයි අපෙ රටේ ලොකු තැන්වල උන් පිරිහිලා ඉවරයි. බලයට ධනයට ආගම ජාතිය විකුණනවා. උන් දන්නෙ නැ උන්ට වෙන්නේ මොකක්ද කියල. මෙවට වගකිවයුතු වන්නේ ඉහළ පෙලෙ ඉන්න උන්. අපෙ ආගම ජාතිය විනාස කරන සක්කිලින්ට කන්න ගූත් නැතිවෙනව කාලකන්නි,YES,කියන්න දුකයි අපෙ රටේ ලොකු තැන්වල උන් පිරිහිලා ඉවරයි  බලයට ධනයට ආගම ජාතිය විකුණනවා  උන් දන්නෙ නැ උන්ට වෙන්නේ මොකක්ද කියල  මෙවට වගකිවයුතු වන්නේ ඉහළ පෙලෙ ඉන්න උන්  අපෙ ආගම ජාතිය විනාස කරන සක්කිලින්ට කන්න ගූත් නැතිවෙනව කාලකන්නි
109,110,මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ . ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,YES,මේ බැල්ලි කොටින්ගේ ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ   ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුකක් දැනෙනවා ඉස්සරහට උපසම්පදාව තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන්ම ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්
111,112,"අපේ හමුදාව බර අවි, කෙමිකල් මිසයිල පාවිච්චි කරලා සමූලඝාතන සිදුකලා කියලා මේ හුත්තිගෙ මිනිහා කිව්වා,, ඒකම මේ හුත්තිත් කියනවා,,, එහෙම එකේ මේ කැරි වේසිට දඩුවම් දෙන්නෙ එකෙක් නැද්ද.... මේ බල්ලන්ට අල්ලන කැරි වේසි හමගහන්න ඕනි පනපිටින්.",YES,අපේ හමුදාව බර අවි  කෙමිකල් මිසයිල පාවිච්චි කරලා සමූලඝාතන සිදුකලා කියලා මේ හුත්තිගෙ මිනිහා කිව්වා   ඒකම මේ හුත්තිත් කියනවා    එහෙම එකේ මේ කැරි වේසිට දඩුවම් දෙන්නෙ එකෙක් නැද්ද     මේ බල්ලන්ට අල්ලන කැරි වේසි හමගහන්න ඕනි පනපිටින් 
113,114,මෙිි හුත්තිට සතුටුයිලු අපේ රටහරක්ටිකටත් සතුටුඇති අපේ හාමුදුරැන්⁣ට දුන්න දඩුවමට දුකයි ඊටත්වැඩිය මරාගන මැරෙන්න හිතෙන්නෙ අපෙහාමුදුරැවන්ට ජමිිබරේ අන්දපුඑකට යකෝ,YES,මෙිි හුත්තිට සතුටුයිලු අපේ රටහරක්ටිකටත් සතුටුඇති අපේ හාමුදුරැන්⁣ට දුන්න දඩුවමට දුකයි ඊටත්වැඩිය මරාගන මැරෙන්න හිතෙන්නෙ අපෙහාමුදුරැවන්ට ජමිිබරේ අන්දපුඑකට යකෝ
114,115,සංඝා වහන්සේ ..නමකට..විශේෂයෙන් බුද්ධ චිවරයට අගෞරව කල පාපයට....නුඹට මතු මතුත් සාප වෙිවා....,YES,සංඝා වහන්සේ   නමකට  විශේෂයෙන් බුද්ධ චිවරයට අගෞරව කල පාපයට    නුඹට මතු මතුත් සාප වෙිවා    
122,123,කැරි වේසි හෙනගහපිය,YES,කැරි වේසි හෙනගහපිය
124,125,මේ වගේ ගැනු මේ රටේන් එලවන්න ඔන නොදකින් ශාපවේවා,YES,මේ වගේ ගැනු මේ රටේන් එලවන්න ඔන නොදකින් ශාපවේවා
126,127,අපේ අමන පාලකයොන්ගේ වැරදි,YES,අපේ අමන පාලකයොන්ගේ වැරදි
127,128,ගොන් වේසී මිනිහා ගිය තැනටම යන්න දගලනවා වගේ,YES,ගොන් වේසී මිනිහා ගිය තැනටම යන්න දගලනවා වගේ
128,129,පල වේසියෙ යන්න මේ ලෝකෙන්ම තොලොන්චි වෙලා හැප්පිය වාහනේකට මැරෙන්නම බැල්ලිව,YES,පල වේසියෙ යන්න මේ ලෝකෙන්ම තොලොන්චි වෙලා හැප්පිය වාහනේකට මැරෙන්නම බැල්ලිව
129,130,මුස්ලිම් රටක ආගමික නායකයකු මෙ දෙ කලානම් රාජ්‍ය ගෙෘරව ජනතාවට දෙවියෝ,YES,මුස්ලිම් රටක ආගමික නායකයකු මෙ දෙ කලානම් රාජ්‍ය ගෙෘරව ජනතාවට දෙවියෝ
130,131,හෙන හත ගහපන්,YES,හෙන හත ගහපන්
131,132,මේ කල දේට තෝනමි විඳවලා මැරෙන්න ඕන තොට හෙන හතම වැදියන්.....,YES,මේ කල දේට තෝනමි විඳවලා මැරෙන්න ඕන තොට හෙන හතම වැදියන්     
133,134,හෙන ගහනවා කැරි වෙසිට,YES,හෙන ගහනවා කැරි වෙසිට
134,135,අපරාද කාරයෝ රට පාවලා දෙන උන් රකින සක්කිලි ආන්ඩුව,YES,අපරාද කාරයෝ රට පාවලා දෙන උන් රකින සක්කිලි ආන්ඩුව
135,136,සාප වේවා.... තිට හෙන හතම වැදියන්....,YES,සාප වේවා     තිට හෙන හතම වැදියන්    
139,140,පට්ට බැල්ලි බල්ලො දම්මලා හුකන්න ඉනී,YES,පට්ට බැල්ලි බල්ලො දම්මලා හුකන්න ඉනී
144,145,ජම්පරේ ගස්සන්ඩ ඕනී.ආයේ චීවරේ නොදාන්නම,YES,ජම්පරේ ගස්සන්ඩ ඕනී ආයේ චීවරේ නොදාන්නම
147,148,මෙි ගැනිට සාප වෙිවා,YES,මෙි ගැනිට සාප වෙිවා
150,151,පනපිටින් අපායෙ පල කොටිදෙන,YES,පනපිටින් අපායෙ පල කොටිදෙන
155,156,කොටි දෙනක්,YES,කොටි දෙනක්
157,158,හම්පඩ පඩංගු දෙමළු වේසාවි .......,YES,හම්පඩ පඩංගු දෙමළු වේසාවි        
163,164,බලු වෙසි තොගෙ අම්මා බල්ලොත් ලැගලා තොව ජාතක කරලා තියෙන්නේ .,YES,බලු වෙසි තොගෙ අම්මා බල්ලොත් ලැගලා තොව ජාතක කරලා තියෙන්නේ  
173,174,තෙවරප්පෙරැමට අහුඋනොත් ඔක්කොම ගුටි කනවා යකෝ,YES,තෙවරප්පෙරැමට අහුඋනොත් ඔක්කොම ගුටි කනවා යකෝ
174,175,ලංකාවෙි මිනිස්සුන්ට මොනතරමි හොද කලත් වැඩක් නැ ඒ අයගේ ආකල්ප වෙනස්කරන්න බැ..මෙි කමෙන්ටි වලින් ඒදේ වැටහෙනවා.මහා මෝඩ මිනිස්සු..බහුතරයක්,YES,ලංකාවෙි මිනිස්සුන්ට මොනතරමි හොද කලත් වැඩක් නැ ඒ අයගේ ආකල්ප වෙනස්කරන්න බැ  මෙි කමෙන්ටි වලින් ඒදේ වැටහෙනවා මහා මෝඩ මිනිස්සු  බහුතරයක්
177,178,"පොලීසිය ගොං ආතල් දෙනවා , පූජිතයෝ උබට තියෙන වැඩ මේවද?",YES,පොලීසිය ගොං ආතල් දෙනවා   පූජිතයෝ උබට තියෙන වැඩ මේවද 
181,182,"මේ යුද්ධයේ සැබෑම අවසානය වෙන්න ඕන මේකයි. දැන්වත් කඩප්පුලි විග්නේෂ්වරන්, සිවාජිලිංගම්, සම්බන්ධන්, සුමන්තිරන් වැනි කාළක්නි දේශපාලකයින් දේශපාලනයෙන් අතුගා දැමිය යුතුයි.",YES,මේ යුද්ධයේ සැබෑම අවසානය වෙන්න ඕන මේකයි  දැන්වත් කඩප්පුලි විග්නේෂ්වරන්  සිවාජිලිංගම්  සම්බන්ධන්  සුමන්තිරන් වැනි කාළක්නි දේශපාලකයින් දේශපාලනයෙන් අතුගා දැමිය යුතුයි 
