,PhraseNo,Phrase,IsHateSpeech,cleaned_phrase
53,54,පාතාල කාරයන්ට මනුස්සකමක් නැනේ.මුන් බයික් වලට නගිනකන් ඉවසන්න තිබුනේ.නැත්තන් තත්වය බලල stf ගෙනන්න තිබුනේ. කොහේද ලොක්කො දෙන අණ නේ.. අපරාදෙ වටින ජීවිතයක්.,YES,පාතාල කාරයන්ට මනුස්සකමක් නැනේ මුන් බයික් වලට නගිනකන් ඉවසන්න තිබුනේ නැත්තන් තත්වය බලල stf ගෙනන්න තිබුනේ  කොහේද ලොක්කො දෙන අණ නේ   අපරාදෙ වටින ජීවිතයක් 
58,59,මන්නම් කියන්නෙ පොලිසියෙ උන්නැහැලා ටිකටත් stf පුහුණුවක් අවශයයි..මොකද හොරාට පන්න ගන්න බැ...මොලෙ පාවිච්චි කරලා හොරා කොටු කරගන්නෙ නැ...ගොන් වැඩ ගොඩක් තියෙනව..,YES,මන්නම් කියන්නෙ පොලිසියෙ උන්නැහැලා ටිකටත් stf පුහුණුවක් අවශයයි  මොකද හොරාට පන්න ගන්න බැ   මොලෙ පාවිච්චි කරලා හොරා කොටු කරගන්නෙ නැ   ගොන් වැඩ ගොඩක් තියෙනව  
63,64,ratakata giya kalak.vahane dora arinna ekek help kare ne.ara manussayata.me aparade karapu un tama nidalle.rate maha un ponnayo ekai me serama dewal.okunat chance denna epa tatwat.,YES,ratakata giya kalak vahane dora arinna ekek help kare ne ara manussayata me aparade karapu un tama nidalle rate maha un ponnayo ekai me serama dewal okunat chance denna epa tatwat 
64,65,Pathali para haththa akekwath ethuru karanna epa.okunge daruwanta edala hena gahanawa para ballo.,YES,Pathali para haththa akekwath ethuru karanna epa okunge daruwanta edala hena gahanawa para ballo 
66,67,Ashi Hashi ඔවාට දකුණේ එකෙක් ඒක කෙලින් කියන්න වෙන වෙන සීන් ගැන කියල මඩ ගහන්නෙ නැතුව,YES,Ashi Hashi ඔවාට දකුණේ එකෙක් ඒක කෙලින් කියන්න වෙන වෙන සීන් ගැන කියල මඩ ගහන්නෙ නැතුව
67,68,"Ahama.kiyana.apa.natara.kiyann.apa.gama.policya.wada.waradagan.tiyana.nisai.minusu.ahka.baluwa.nikaruna.kollo.maranawa.horu.maragann.ba.bayta.akada.yahpalan.ahinsa.amm.adanwa.ada.puta.batuwa.oya,sakilli.bollonga.oluwata.waditiyala.danna.ona.",YES,Ahama kiyana apa natara kiyann apa gama policya wada waradagan tiyana nisai minusu ahka baluwa nikaruna kollo maranawa horu maragann ba bayta akada yahpalan ahinsa amm adanwa ada puta batuwa oya sakilli bollonga oluwata waditiyala danna ona 
70,71,Me horu training une koheda?,YES,Me horu training une koheda 
71,72,Thattayaa mokek daa uuu karikii karikii innee pissek wagee... udauu karannee nathywaa... mona pissek daa mandaa..,YES,Thattayaa mokek daa uuu karikii karikii innee pissek wagee    udauu karannee nathywaa    mona pissek daa mandaa  
72,73,Maraladanna thiyenne okunwa.mathara un dakune kiyala kehegahuwata bayagullo inne.,YES,Maraladanna thiyenne okunwa mathara un dakune kiyala kehegahuwata bayagullo inne 
74,75,Oya jatika arakahawa sambanda inna uda pena pena kata meta dodawana amatio ..dipan polisiata hoda wepan mesinngan..arun ottu sellam karanawa maha pare hat denek duwanawa..lejjai..dipan oya pattama. Patalema. Tawa ekekuta palayan paw nodi gedara.....,YES,Oya jatika arakahawa sambanda inna uda pena pena kata meta dodawana amatio   dipan polisiata hoda wepan mesinngan  arun ottu sellam karanawa maha pare hat denek duwanawa  lejjai  dipan oya pattama  Patalema  Tawa ekekuta palayan paw nodi gedara     
75,76,Lankawe inna samahara pirimi napunsakayo ara manussayata wahane dora arala dennawat kenek enne ne mun pirimida ane e manussaya veerayek attatama ..,YES,Lankawe inna samahara pirimi napunsakayo ara manussayata wahane dora arala dennawat kenek enne ne mun pirimida ane e manussaya veerayek attatama   
77,78,Meyata aydayak tibbanam aniwa dennekwath bawanawa aprade....,YES,Meyata aydayak tibbanam aniwa dennekwath bawanawa aprade    
79,80,Hospital inna ewun tikath wada deela maranda thiyenne,YES,Hospital inna ewun tikath wada deela maranda thiyenne
83,84,Shit ara ekek dakalat dakke na wage yanawa..,YES,Shit ara ekek dakalat dakke na wage yanawa  
84,85,Waha palane raga tamai oya,YES,Waha palane raga tamai oya
86,87,ලංකාවේ hema tanama oya wage tamai R.D.A නිලධාරීන් owa දකින්නේ nati එක හරිම කනගාටුදායක (අපෙන් බඳු ගහන සල්ලිවලින්. කරන අපරාධ Henaghanawa munta tu),YES,ලංකාවේ hema tanama oya wage tamai R D A නිලධාරීන් owa දකින්නේ nati එක හරිම කනගාටුදායක  අපෙන් බඳු ගහන සල්ලිවලින්  කරන අපරාධ Henaghanawa munta tu 
87,88,Ape peththeth oya wede mai කරන්නේ .මහින්ද මහත්තයා නැතිකම දැනෙනවා .hitiyanam අපිත් ගොඩ,YES,Ape peththeth oya wede mai කරන්නේ  මහින්ද මහත්තයා නැතිකම දැනෙනවා  hitiyanam අපිත් ගොඩ
90,91,mewata loku baladarin waga kiyanna ona mun okkoma ekai mahajana mudal nasthi karana kalakanni balu heththa,YES,mewata loku baladarin waga kiyanna ona mun okkoma ekai mahajana mudal nasthi karana kalakanni balu heththa
93,94,akke aewa loku unge weradi,YES,akke aewa loku unge weradi
94,95,mun wage kalakanni innakan ratawal diunukarana be,YES,mun wage kalakanni innakan ratawal diunukarana be
96,97,ඒත් උඹ අර හොටු පෙරං අඬන හෙලු කෙල්ලොංගෙ videosui අනික් ලබ්බවල් වලට වඩා මේ කරපු වැඩේනම් great බං...,YES,ඒත් උඹ අර හොටු පෙරං අඬන හෙලු කෙල්ලොංගෙ videosui අනික් ලබ්බවල් වලට වඩා මේ කරපු වැඩේනම් great බං   
97,98,Api thathala nathuwa duk wenwa me kalaknni thaththala idala salakanne,YES,Api thathala nathuwa duk wenwa me kalaknni thaththala idala salakanne
99,100,thopi wage lamainta me athmedi hena wadina ona,YES,thopi wage lamainta me athmedi hena wadina ona
101,102,NGO වලින්ද එතකොට ලංකාවෙ නිතිය ක්රියාත්මක කරන්නෙ නොදකිං කලකිරෙනවා මෙවා දැක්කම මොනද මෙ අපෙ රටට වෙන්නෙ,YES,NGO වලින්ද එතකොට ලංකාවෙ නිතිය ක්රියාත්මක කරන්නෙ නොදකිං කලකිරෙනවා මෙවා දැක්කම මොනද මෙ අපෙ රටට වෙන්නෙ
102,103,Henama gahapiya okita.NGO karayanta puka dipan thawath wesi.tho marunu data pansukule denneth අපේ හාමුදුරුවෝ mthaka thiya ganin.thota sapa wenawa.shinhalaya gana ktha krapu අපේ හාමුදුරුවන්ට මෙහෙම කරාට .,YES,Henama gahapiya okita NGO karayanta puka dipan thawath wesi tho marunu data pansukule denneth අපේ හාමුදුරුවෝ mthaka thiya ganin thota sapa wenawa shinhalaya gana ktha krapu අපේ හාමුදුරුවන්ට මෙහෙම කරාට  
103,104,Mewata katha karanna wachana ne..hithe wairaya athi karanawata wada...wadath hidama de munta swabadahama thulin lebena දඬුවම diha nihathamaniwa balasitimai.....sandya kiyana wesa genita hidata ninda yanawa athi den,YES,Mewata katha karanna wachana ne  hithe wairaya athi karanawata wada   wadath hidama de munta swabadahama thulin lebena දඬුවම diha nihathamaniwa balasitimai     sandya kiyana wesa genita hidata ninda yanawa athi den
104,105,Gon genita saapa වේවා....me athmedima palisan දේවා හාමුදුරුවෝ namak hireta yeuwata..,YES,Gon genita saapa වේවා    me athmedima palisan දේවා හාමුදුරුවෝ namak hireta yeuwata  
105,106,Hamudurowo kiwe aththak..ube miniha KOtiyek..LTTE eken salli gaththa oththu karayek...apith 2020 passe me kalakanni anduwa gedara yawala sahimakata path wenawa,YES,Hamudurowo kiwe aththak  ube miniha KOtiyek  LTTE eken salli gaththa oththu karayek   apith 2020 passe me kalakanni anduwa gedara yawala sahimakata path wenawa
106,107,Oyage thawakalika sathuta uparima winda ganna okata windawanna weddi daraganna bari wei,YES,Oyage thawakalika sathuta uparima winda ganna okata windawanna weddi daraganna bari wei
110,111,Cari wesi.. Me cari wesige puke arinna one miriskudu daala balu wesita. Katu kohila alayak bessuwanam kakul 2ka depeththata karala huththa athulata me huththita mita wada sathutak lebei.,YES,Cari wesi   Me cari wesige puke arinna one miriskudu daala balu wesita  Katu kohila alayak bessuwanam kakul 2ka depeththata karala huththa athulata me huththita mita wada sathutak lebei 
112,113,Tho ganu jatiyatama nindawak lake wadi dawasak Yamaha thota sapa wenawamai,YES,Tho ganu jatiyatama nindawak lake wadi dawasak Yamaha thota sapa wenawamai
115,116,Meki lankawe janadi pathinitakda budu dahama winasa karana hethiriyak ne,YES,Meki lankawe janadi pathinitakda budu dahama winasa karana hethiriyak ne
116,117,Podi daruwo dusanaya karala maranawa ewata mokuth na ane pau apahasa neme karanna thibbe kumarihamita bella mirikala maranna,YES,Podi daruwo dusanaya karala maranawa ewata mokuth na ane pau apahasa neme karanna thibbe kumarihamita bella mirikala maranna
117,118,Tigae miha marapuuna hiyanna amruwak na katin kiyapu wacanata uda painawa ubda kada hari dittadamna wadaniya karumae padisan danawamai budu ciwarayanata nigaru kirimata,YES,Tigae miha marapuuna hiyanna amruwak na katin kiyapu wacanata uda painawa ubda kada hari dittadamna wadaniya karumae padisan danawamai budu ciwarayanata nigaru kirimata
118,119,Oita wada hinsa appa rata wanawa podi daruwo antha karanawa .apra karayo koha baluwah ma gani matharamma sundara wasthuwakda.balla giya ratak.apa buddha cjiwaraya gana harima dukai.,YES,Oita wada hinsa appa rata wanawa podi daruwo antha karanawa  apra karayo koha baluwah ma gani matharamma sundara wasthuwakda balla giya ratak apa buddha cjiwaraya gana harima dukai 
119,120,To wage balu wesiyek wadapu toge ammage to wadapu tenatath henagahannaona,YES,To wage balu wesiyek wadapu toge ammage to wadapu tenatath henagahannaona
120,121,Kanthawakata hirihara kireema waradei.habai me wage kotiyekuge geniyekuta banna newei maruwath pau na.,YES,Kanthawakata hirihara kireema waradei habai me wage kotiyekuge geniyekuta banna newei maruwath pau na 
121,122,Ape ratata mokadda me wenne.mun alawanna hadamu.mahindata rata barademu.okkoma akathuwemu.me sinhalayage rata,YES,Ape ratata mokadda me wenne mun alawanna hadamu mahindata rata barademu okkoma akathuwemu me sinhalayage rata
123,124,Thambiyelta kiyala hukaganna kiyahan keri wesita,YES,Thambiyelta kiyala hukaganna kiyahan keri wesita
125,126,Okege sathuta. As panapitama padesan denna one,YES,Okege sathuta  As panapitama padesan denna one
132,133,Patta wesi tota henama gahapan totai toge anduwatai lagadima redi netuwa pare duwanna wei edata toge hinsanayata api gal gahanawa,YES,Patta wesi tota henama gahapan totai toge anduwatai lagadima redi netuwa pare duwanna wei edata toge hinsanayata api gal gahanawa
136,137,Tho sathutu unaawagema duk wendath wenawa,YES,Tho sathutu unaawagema duk wendath wenawa
137,138,hotai thindu karapu ekatai me rajayatai henama gahapiya,YES,hotai thindu karapu ekatai me rajayatai henama gahapiya
138,139,Kotinge ata deka suppu karapan gihin cari wesi. Me wesitanm hodak sidda wenne nehe. Hena gahapan,YES,Kotinge ata deka suppu karapan gihin cari wesi  Me wesitanm hodak sidda wenne nehe  Hena gahapan
140,141,Huththa lokuda danne neeee,YES,Huththa lokuda danne neeee
141,142,Usawiyeth desapalana theendu,YES,Usawiyeth desapalana theendu
142,143,Balu huttita hana hatama gahapiya,YES,Balu huttita hana hatama gahapiya
143,144,Hitan magenguti kanna nethiwa oya unansewa nidahas karapan hodaekaawage,YES,Hitan magenguti kanna nethiwa oya unansewa nidahas karapan hodaekaawage
145,146,Karumeta gahala akalata haduna wesiyo,YES,Karumeta gahala akalata haduna wesiyo
146,147,LTTE එකට කඩේ යන ..NGO සල්ලි වලට රට පාවා දෙන හැත්ත ....,YES,LTTE එකට කඩේ යන   NGO සල්ලි වලට රට පාවා දෙන හැත්ත     
148,149,hora ganayonta kade yana gonnu inna ratak meka,YES,hora ganayonta kade yana gonnu inna ratak meka
149,150,Me genige geta gal gahanna lasthiweyalla,YES,Me genige geta gal gahanna lasthiweyalla
151,152,Puka diyan noel.mona paiye sinduda hutto me.සමාජෙට හොද දෙයක් කරපන්,YES,Puka diyan noel mona paiye sinduda hutto me සමාජෙට හොද දෙයක් කරපන්
152,153,Mun Rata winasa karalla ewarayi,YES,Mun Rata winasa karalla ewarayi
153,154,Ponna wasi,YES,Ponna wasi
154,155,Aknali goda maruna aka gana api sathutu wenawa...,YES,Aknali goda maruna aka gana api sathutu wenawa   
156,157,Wesa genita hena gahapiya .rate nayakaya ponnayek unama ohoma tamai,YES,Wesa genita hena gahapiya  rate nayakaya ponnayek unama ohoma tamai
158,159,ako ratama ltte eke salli walata wikka munta ira hada payanawaneeee,YES,ako ratama ltte eke salli walata wikka munta ira hada payanawaneeee
159,160,Nadukarayage mulu engema gedidapn okage paaulama hedigeviyan,YES,Nadukarayage mulu engema gedidapn okage paaulama hedigeviyan
160,161,Koti.gani.shapa.wewa.ubata,YES,Koti gani shapa wewa ubata
161,162,එහෙමද ...ආස...කැරී wecii...,YES,එහෙමද    ආස   කැරී wecii   
162,163,Makabawilama pala paduru wesi.,YES,Makabawilama pala paduru wesi 
164,165,Meeka pada show ekak,YES,Meeka pada show ekak
165,166,Thota hena gahapan thoge balu patawuntath .. Balu weesi,YES,Thota hena gahapan thoge balu patawuntath    Balu weesi
166,167,Henama gahapiya wesa ballita,YES,Henama gahapiya wesa ballita
167,168,Tope anduwa tiyana an hodai,YES,Tope anduwa tiyana an hodai
168,169,Mekita dan miniha nathuwa aduwak wena ekak ne,YES,Mekita dan miniha nathuwa aduwak wena ekak ne
169,170,SATHUTU NAM PUKA DEEPAN WESA BADUWA,YES,SATHUTU NAM PUKA DEEPAN WESA BADUWA
170,171,Me genige jathae kalwam ekak.,YES,Me genige jathae kalwam ekak 
171,172,Yadamin benda vilangu la Mage putha regena yanna.Idikatu weni engili thala Dethis wadaya pamunuwanna.Aluth lowak gena sithima Danduwam dena warada nam.Kumata erata adhikaranaya Neethiya saha vinisuran,YES,Yadamin benda vilangu la Mage putha regena yanna Idikatu weni engili thala Dethis wadaya pamunuwanna Aluth lowak gena sithima Danduwam dena warada nam Kumata erata adhikaranaya Neethiya saha vinisuran
172,173,Bona unta bus eke megala gihin bol gahanna thamai tiyenne,YES,Bona unta bus eke megala gihin bol gahanna thamai tiyenne
175,176,Ponnayo danne kellek aduwa gaman laga inna kollekta Allan gahanna witharai.,YES,Ponnayo danne kellek aduwa gaman laga inna kollekta Allan gahanna witharai 
176,177,Ape harak samjeta eka honda adrshyak,YES,Ape harak samjeta eka honda adrshyak
178,179,Tpita pisuda yako man htuwe atta kiyala aiyo,YES,Tpita pisuda yako man htuwe atta kiyala aiyo
179,180,Kimbak eduwoth ape untath amma thaththawath penne n,YES,Kimbak eduwoth ape untath amma thaththawath penne n
180,181,Lisan nathawa yanna puluwan yako ...api dannawa oka veede nattiyak kiyala,YES,Lisan nathawa yanna puluwan yako    api dannawa oka veede nattiyak kiyala
184,185,Samanya minasata danena de me kalakanni desapalakayanta penne nathi eka thama karume..,YES,Samanya minasata danena de me kalakanni desapalakayanta penne nathi eka thama karume  
188,189,Shampoo එකක් promote කරන්න දාපු ලස්සන මුට්ටියක් කියලයි මටනම් හිතෙන්නෙ... බලපං නැද්ද කියලා තා ටික දවසකින්..,YES,Shampoo එකක් promote කරන්න දාපු ලස්සන මුට්ටියක් කියලයි මටනම් හිතෙන්නෙ    බලපං නැද්ද කියලා තා ටික දවසකින්  
190,191,Dakune shampoo nadda?,NO,Dakune shampoo nadda 
193,194,muladi hinawey... digatama karoth devole karala hoda idea ekak,NO,muladi hinawey    digatama karoth devole karala hoda idea ekak
194,195,Hadannanam puluvan eth oka reddak adan dagena yanne kohomai ape handuruvane,NO,Hadannanam puluvan eth oka reddak adan dagena yanne kohomai ape handuruvane
195,196,Police yen navatthana ekkak na,NO,Police yen navatthana ekkak na
196,197,Mathakane kalayak ape un fite fan ellan gihin rexona market kala,NO,Mathakane kalayak ape un fite fan ellan gihin rexona market kala
197,198,Pahadili madi visthara karapu hati.,NO,Pahadili madi visthara karapu hati 
198,199,Me mokkakda bn eka dapuwahama mahasona wagene,YES,Me mokkakda bn eka dapuwahama mahasona wagene
200,201,ela ela thawa thawath mede wadidinu karanna,NO,ela ela thawa thawath mede wadidinu karanna
201,202,Game gahapan aiya api gannaw,NO,Game gahapan aiya api gannaw
204,205,Lankawen desapalakayo tikak yawala balamu.poster gahana widihata thama ita passe,YES,Lankawen desapalakayo tikak yawala balamu poster gahana widihata thama ita passe
206,207,Comments බලන්න ආපු අය මෙතනින් පොඩි Like එකක් ඕනේ Bro..,NO,Comments බලන්න ආපු අය මෙතනින් පොඩි Like එකක් ඕනේ Bro  
208,209,"paadam karanawa kese wethath, putuwak nan aniwa allagannawa mama, puluwannan putu tikak allala business line ekakuth gahagannawa shape eke",NO,paadam karanawa kese wethath  putuwak nan aniwa allagannawa mama  puluwannan putu tikak allala business line ekakuth gahagannawa shape eke
212,213,E karpu kathwa nm wedagth...m kiuwath oyala..,NO,E karpu kathwa nm wedagth   m kiuwath oyala  
213,214,Oshadhi adui. Hama gahapu issek wage,YES,Oshadhi adui  Hama gahapu issek wage
218,219,Oka light bala bala cheeneta naya gewamu.,YES,Oka light bala bala cheeneta naya gewamu 
220,221,"කෑමකඩත් තියෙනවද tomorrowland වගේද festival එක , තව hardwell , mashmellow එනවද edm කරන්න",NO,කෑමකඩත් තියෙනවද tomorrowland වගේද festival එක   තව hardwell   mashmellow එනවද edm කරන්න
226,227,ඒකටනම් දුම්‍රිය දෙපාර්තුමේන්තුවත් වගකියන්න ඕන..කෝච්චිය රෑ අවසාන ට්‍රිප් එක ගිහින් ආවහම කිසිම නඩත්තුවක් නැතුව ආපහු පහුවදා උදේට එන්ජිම අනිත් පැත්තට අමුනල ඇදගෙන එනව වගේ මටනම් පේන්නෙ...ඒකට වරදක් කියන්නත් බෑ බං..හරියට maintenance කරන්න හරියට සේවකයො ගන්න ඕන..උන්ට පඩියක් ගෙවන්න ඕන..ඒව කොරන්න කොහෙඩ රටට සල්ලි...රටින් ගන්න ණය අදාර ඔක්කොම ගිහිනුත් මදි පාර්ලිමේන්තුව නඩත්තු කරන්න...මට තේරෙන්නෙ නෑ..කතා කරල වැඩක් නෑ..මේ කෝච්චියෙ යන්න ටයි කරන්න එපා ප්‍රෙන් තෙප්පමක් හදාගෙන හරි කමක් නෑ ජීවත් වෙන්න පුලුවන් රටකට පලයල්ල...,NO,ඒකටනම් දුම්‍රිය දෙපාර්තුමේන්තුවත් වගකියන්න ඕන  කෝච්චිය රෑ අවසාන ට්‍රිප් එක ගිහින් ආවහම කිසිම නඩත්තුවක් නැතුව ආපහු පහුවදා උදේට එන්ජිම අනිත් පැත්තට අමුනල ඇදගෙන එනව වගේ මටනම් පේන්නෙ   ඒකට වරදක් කියන්නත් බෑ බං  හරියට maintenance කරන්න හරියට සේවකයො ගන්න ඕන  උන්ට පඩියක් ගෙවන්න ඕන  ඒව කොරන්න කොහෙඩ රටට සල්ලි   රටින් ගන්න ණය අදාර ඔක්කොම ගිහිනුත් මදි පාර්ලිමේන්තුව නඩත්තු කරන්න   මට තේරෙන්නෙ නෑ  කතා කරල වැඩක් නෑ  මේ කෝච්චියෙ යන්න ටයි කරන්න එපා ප්‍රෙන් තෙප්පමක් හදාගෙන හරි කමක් නෑ ජීවත් වෙන්න පුලුවන් රටකට පලයල්ල   
227,228,මේ comment වල තියෙන අදහස් Facebook එක ඇතුලේම පල් නොකර ස්ටේෂන් වලයි දුම්රිය මැදිරි ඇතුලෙයි මිනිස්සුන්ට දැනෙන විදිහට Display කළා නම් භාෂා 3න්ම පින්තූරත් එක්ක පොඩි වෙනසක් හරි දකින්න පුළුවන්.,NO,මේ comment වල තියෙන අදහස් Facebook එක ඇතුලේම පල් නොකර ස්ටේෂන් වලයි දුම්රිය මැදිරි ඇතුලෙයි මිනිස්සුන්ට දැනෙන විදිහට Display කළා නම් භාෂා 3න්ම පින්තූරත් එක්ක පොඩි වෙනසක් හරි දකින්න පුළුවන් 
233,234,Dubai wala thiyana awaga kama kana ak thahanam.aduma tharama chuingam wath kanda ba.aka hama thama camara thiyanawa.lagatama avith dada gahanakn danna.na.apa minissu wanas karanda.amarui.akata hodama da hariyata nithi hadanda ona.owata athokota nikamma purudu wanawa.,NO,Dubai wala thiyana awaga kama kana ak thahanam aduma tharama chuingam wath kanda ba aka hama thama camara thiyanawa lagatama avith dada gahanakn danna na apa minissu wanas karanda amarui akata hodama da hariyata nithi hadanda ona owata athokota nikamma purudu wanawa 
236,237,යන එවුන්ටයි මේ කියන්නේ. මොන තරම් options අවත් කමක් නෑ .. එවගේ ඒ විදිහිට ගිහින් එක පරිස්සමෙන් පාවිච්චි කරන්න.. අපේ දෙවල් රැක ගන්න.,NO,යන එවුන්ටයි මේ කියන්නේ  මොන තරම් options අවත් කමක් නෑ    එවගේ ඒ විදිහිට ගිහින් එක පරිස්සමෙන් පාවිච්චි කරන්න   අපේ දෙවල් රැක ගන්න 
